Connected to ESP32-CAM at http://192.168.128.66:81/stream. Press 'q' to quit.
Capture: 1.98 ms | MediaPipe: 90.69 ms | Show: 1.02 ms

FPS: 8 | Hand FPS: 5 | No-Hand FPS: 3

Capture: 2.98 ms | MediaPipe: 56.72 ms | Show: 0.00 ms
Capture: 3.00 ms | MediaPipe: 83.93 ms | Show: 1.00 ms
Capture: 1.99 ms | MediaPipe: 81.09 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 62.63 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 96.04 ms | Show: 0.00 ms
Capture: 1.98 ms | MediaPipe: 86.96 ms | Show: 0.00 ms
Capture: 3.00 ms | MediaPipe: 93.43 ms | Show: 0.00 ms
Capture: 2.99 ms | MediaPipe: 65.03 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 70.78 ms | Show: 0.00 ms
Capture: 3.45 ms | MediaPipe: 76.34 ms | Show: 0.00 ms
Capture: 3.99 ms | MediaPipe: 85.13 ms | Show: 0.00 ms

FPS: 11 | Hand FPS: 0 | No-Hand FPS: 11

Capture: 5.30 ms | MediaPipe: 55.28 ms | Show: 0.00 ms
Capture: 3.28 ms | MediaPipe: 49.51 ms | Show: 0.00 ms
Capture: 4.04 ms | MediaPipe: 45.78 ms | Show: 0.96 ms
Capture: 4.70 ms | MediaPipe: 41.55 ms | Show: 0.53 ms
Capture: 5.00 ms | MediaPipe: 41.33 ms | Show: 0.00 ms
Capture: 3.00 ms | MediaPipe: 64.92 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 49.55 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 71.59 ms | Show: 0.00 ms
Capture: 6.08 ms | MediaPipe: 49.04 ms | Show: 0.00 ms
Capture: 5.05 ms | MediaPipe: 67.71 ms | Show: 0.00 ms
Capture: 2.03 ms | MediaPipe: 41.06 ms | Show: 1.01 ms
Capture: 2.86 ms | MediaPipe: 45.68 ms | Show: 0.00 ms
Capture: 3.04 ms | MediaPipe: 50.52 ms | Show: 0.00 ms
Capture: 2.01 ms | MediaPipe: 41.03 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 35.02 ms | Show: 0.00 ms
Capture: 1.99 ms | MediaPipe: 34.47 ms | Show: 0.00 ms

FPS: 16 | Hand FPS: 0 | No-Hand FPS: 16

Capture: 3.35 ms | MediaPipe: 39.57 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 67.23 ms | Show: 0.00 ms
Capture: 1.92 ms | MediaPipe: 37.25 ms | Show: 0.00 ms
Capture: 2.01 ms | MediaPipe: 50.70 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 44.69 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 37.24 ms | Show: 0.00 ms
Capture: 1.98 ms | MediaPipe: 52.03 ms | Show: 0.00 ms
Capture: 1.99 ms | MediaPipe: 37.14 ms | Show: 0.00 ms
Capture: 2.01 ms | MediaPipe: 35.47 ms | Show: 0.00 ms
Capture: 2.40 ms | MediaPipe: 41.40 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 50.33 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 47.52 ms | Show: 0.00 ms
Capture: 1.34 ms | MediaPipe: 39.91 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 38.28 ms | Show: 0.00 ms
Capture: 2.04 ms | MediaPipe: 32.13 ms | Show: 0.00 ms
Capture: 1.92 ms | MediaPipe: 46.46 ms | Show: 0.00 ms
Capture: 4.95 ms | MediaPipe: 32.88 ms | Show: 0.00 ms
Capture: 1.97 ms | MediaPipe: 34.13 ms | Show: 0.00 ms
Capture: 4.19 ms | MediaPipe: 35.92 ms | Show: 0.00 ms

FPS: 19 | Hand FPS: 0 | No-Hand FPS: 19

Capture: 2.00 ms | MediaPipe: 42.47 ms | Show: 0.00 ms
Capture: 3.98 ms | MediaPipe: 54.88 ms | Show: 0.00 ms
Capture: 1.49 ms | MediaPipe: 54.85 ms | Show: 0.00 ms
Capture: 2.50 ms | MediaPipe: 54.81 ms | Show: 0.00 ms
Capture: 6.00 ms | MediaPipe: 57.72 ms | Show: 0.40 ms
Capture: 2.54 ms | MediaPipe: 77.54 ms | Show: 0.00 ms
Capture: 5.04 ms | MediaPipe: 37.98 ms | Show: 0.00 ms
