Connected to ESP32-CAM at http://192.168.128.66:81/stream. Press 'q' to quit.
Capture: 1.03 ms | MediaPipe: 56.37 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 71.45 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 101.00 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 26.77 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 100.26 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 72.44 ms | Show: 0.00 ms
Capture: 0.96 ms | MediaPipe: 41.80 ms | Show: 0.00 ms
Capture: 1.18 ms | MediaPipe: 68.73 ms | Show: 0.00 ms
Capture: 0.61 ms | MediaPipe: 59.48 ms | Show: 1.00 ms
Capture: 0.00 ms | MediaPipe: 68.57 ms | Show: 0.99 ms
Capture: 0.54 ms | MediaPipe: 67.40 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 78.59 ms | Show: 0.00 ms
Capture: 1.06 ms | MediaPipe: 80.89 ms | Show: 0.00 ms
Capture: 0.15 ms | MediaPipe: 72.05 ms | Show: 0.00 ms
Capture: 0.76 ms | MediaPipe: 80.77 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 71.17 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 57.34 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 57.79 ms | Show: 0.00 ms
Capture: 0.99 ms | MediaPipe: 65.42 ms | Show: 0.00 ms
Capture: 1.02 ms | MediaPipe: 62.61 ms | Show: 1.01 ms
Capture: 0.00 ms | MediaPipe: 74.29 ms | Show: 1.00 ms
Capture: 0.48 ms | MediaPipe: 60.48 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 59.37 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 53.25 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 55.57 ms | Show: 0.00 ms
Capture: 1.01 ms | MediaPipe: 70.45 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 61.16 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 53.01 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 61.37 ms | Show: 1.00 ms
Capture: 0.00 ms | MediaPipe: 58.78 ms | Show: 0.00 ms
Capture: 1.08 ms | MediaPipe: 54.53 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 73.92 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 66.62 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 60.57 ms | Show: 0.00 ms
Capture: 1.01 ms | MediaPipe: 57.70 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 62.18 ms | Show: 0.00 ms
Capture: 0.94 ms | MediaPipe: 58.71 ms | Show: 0.00 ms
Capture: 0.20 ms | MediaPipe: 111.88 ms | Show: 0.00 ms
Capture: 1.06 ms | MediaPipe: 38.35 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 73.39 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 62.52 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 78.41 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 74.60 ms | Show: 0.00 ms
